Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,Conference name
Nivelkar M.; Bhirud S.G.,Supervised Machine Learning Strategies for Investigation of Weird Pattern Formulation from Large Volume Data Using Quantum Computing,2022,Lecture Notes in Networks and Systems,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113386440&doi=10.1007%2f978-981-16-2164-2_45&partnerID=40&md5=4cba0a78f2924e1cad6a6a3990a7f14f,"Quantum machine learning [QML] is a new formulation on quantum hardware platform will try to achieve more enhanced data analysis and prediction which classical computer will not be able to generate. Classical computers are having computational limitations in terms of large volume data processing. Quantum machine are not to replace classical machines but quantum computers will solve operational difficulties of classical machines in terms of computational time. Quantum machine learning accelerates the supervised, unsupervised, and reinforcement learning methods. Classical ML methods such as SVM, PCA, Clustering, Neural networks are giving promising results but classical machines are inadequate to perform certain computations. Proposed Quantum machine learning would result in complex and weird patterns. Quantum support vector machine(QSVM) is a method used in supervised learning for classification and regression. QSVM uses high-dimensional feature space possibly on infinite dimension called as enhanced feature space for generating hyperplane. This hyperplane will classify non-linear and complex data on multiclass domain to achieve improved accuracy in less computational time. This paper investigates various strategies for quantum enhanced machine learning algorithm in supervised learning method. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",Machine learning; Quantum computing; Quantum machine learning; Qubit; Support vector machine,,"International Conference on Advanced Computing and Intelligent Technologies, ICACIT 2021"
Meng F.; Yu X.; Zhang Z.,An improved quantum algorithm for spectral regression,2020,"2020 Asia Conference on Computers and Communications, ACCC 2020",0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101697456&doi=10.1109%2fACCC51160.2020.9347936&partnerID=40&md5=bca60e7c1081737151a452351bfabda2,"Spectral Regression (SR) is a novel dimensionality reduction framework for efficient regularized subspace learning, which is fundamentally based on regression and spectral graph analysis. In this paper, we present a quantum algorithm for SR, where quantum Gram-Schmidt process are proposed and quantum singular value estimation (SVE) technique is applied for regression problem. The quantum algorithm involves two core phases: (1) With labels of the data set, we present a quantum Gram-Schmidt process subroutine based on the quantum block-encoding technique for generalized eigenvectors. (2) A quantum method for ridge regression is presented based on SVE, where the extended Hermitian form of the data matrix is not required. It is shown that our quantum algorithm can achieve an exponential speedup over the classical counterpart for the data matrix with well condition number and small sample size.  © 2020 IEEE.",Quantum computing; Spectral regression; SVE,Dimensionality reduction; Number theory; Quantum theory; Regression analysis; Classical counterpart; Generalized eigenvectors; Quantum algorithms; Regression problem; Ridge regression; Small Sample Size; Spectral regressions; Subspace learning; Matrix algebra,"2020 Asia Conference on Computers and Communications, ACCC 2020"
Du Y.; Hsieh M.-H.; Liu T.; Tao D.,A Grover-search based quantum learning scheme for classification,2021,New Journal of Physics,14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101877025&doi=10.1088%2f1367-2630%2fabdefa&partnerID=40&md5=65707e4a8eeafd48c64ddd7d484afce3,"The hybrid quantum-classical learning scheme provides a prominent way to achieve quantum advantages on near-term quantum devices. A concrete example toward this goal is the quantum neural network (QNN), which has been developed to accomplish various supervised learning tasks such as classification and regression. However, there are two central issues that remain obscure when QNN is exploited to accomplish classification tasks. First, a quantum classifier that can well balance the computational cost such as the number of measurements and the learning performance is unexplored. Second, it is unclear whether quantum classifiers can be applied to solve certain problems that outperform their classical counterparts. Here we devise a Grover-search based quantum learning scheme (GBLS) to address the above two issues. Notably, most existing QNN-based quantum classifiers can be seamlessly embedded into the proposed scheme. The key insight behind our proposal is reformulating the classification tasks as the search problem. Numerical simulations exhibit that GBLS can achieve comparable performance with other quantum classifiers under various noise settings, while the required number of measurements is dramatically reduced. We further demonstrate a potential quantum advantage of GBLS over classical classifiers in the measure of query complexity. Our work provides guidance to develop advanced quantum classifiers on near-term quantum devices and opens up an avenue to explore potential quantum advantages in various classification tasks. © 2021 The Author(s). Published by IOP Publishing Ltd on behalf of the Institute of Physics and Deutsche Physikalische Gesellschaft.",quantum classification; quantum computation; quantum machine learning,Quantum theory; Supervised learning; Classical counterpart; Classification tasks; Computational costs; Learning performance; Quantum learning; Quantum neural networks; Quantum-classical; Query complexity; Learning systems,
Liu M.; Liu J.; Liu R.; Makhanov H.; Lykov D.; Apte A.; Alexeev Y.,Embedding Learning in Hybrid Quantum-Classical Neural Networks,2022,"Proceedings - 2022 IEEE International Conference on Quantum Computing and Engineering, QCE 2022",2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143630538&doi=10.1109%2fQCE53715.2022.00026&partnerID=40&md5=c6986f79f116f9c1ca44e97b1705c17c,"Quantum embedding learning is an important step in the application of quantum machine learning to classical data. In this paper we propose a quantum few-shot embedding learning paradigm, which learns embeddings useful for training downstream quantum machine learning tasks. Crucially, we identify the circuit bypass problem in hybrid neural networks, where learned classical parameters are optimized to represent the dataset without the quantum kernel. We observe that the few-shot learning embeddings generalize to unseen classes, and suffer less from the circuit bypass problem in terms of better occupation of the parameter space compared with embeddings learned from regression and classification.  © 2022 IEEE.",few-shot learning; parameterized quantum circuits; Quantum machine learning,Computer vision; Machine learning; Timing circuits; Classical neural networks; Embeddings; Few-shot learning; Machine-learning; Parameterized; Parameterized quantum circuit; Quantum circuit; Quantum machine learning; Quantum machines; Quantum-classical; Embeddings,"3rd IEEE International Conference on Quantum Computing and Engineering, QCE 2022"
Góes C.B.D.; Maciel T.O.; Pollachini G.G.; Salazar J.P.L.C.; Cuenca R.G.; Duzzioni E.I.,QBoost for regression problems: solving partial differential equations,2023,Quantum Information Processing,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149003626&doi=10.1007%2fs11128-023-03871-z&partnerID=40&md5=0a4088cc6c2d23423a90e563e434abfc,"A hybrid algorithm based on machine learning and quantum ensemble learning is proposed to find an approximate solution to a partial differential equation with good precision and favorable scaling in the required number of qubits. The classical component consists in training several regressors (weak-learners), capable of solving a partial differential equation approximately using machine learning. The quantum component consists in adapting the QBoost algorithm to solve regression problems to build an ensemble of classical learners. We have successfully applied our framework to solve the 1D Burgers’ equation with viscosity, showing that the quantum ensemble method really improves the solutions produced by classical weak-learners. We also implemented the algorithm on the D-Wave Systems, confirming the good performance of the quantum solution compared to the simulated annealing and exact solver methods. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Neural network; Partial differential equations; QBoost; Quantum computing,Adaptive boosting; Machine learning; Quantum computers; Simulated annealing; Ensemble learning; Hybrid algorithms; Machine-learning; Neural-networks; On-machines; Problem-solving; Qboost; Quantum Computing; Regression problem; Weak learner; Partial differential equations,
Potempa R.; Porebski S.,Comparing Concepts of Quantum and Classical Neural Network Models for Image Classification Task,2022,Lecture Notes in Networks and Systems,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115150573&doi=10.1007%2f978-3-030-81523-3_6&partnerID=40&md5=cad16fe3ee9c70083bcee46fa8a9be03,"While quantum architectures are still under development, when available, they will only be able to process quantum data when machine learning algorithms can only process numerical data. Therefore, in the issues of classification or regression, it is necessary to simulate and study quantum systems that will transfer the numerical input data to a quantum form and enable quantum computers to use the available methods of machine learning. This material includes the results of experiments on training and performance of a hybrid quantum-classical neural network developed for the problem of classification of handwritten digits from the MNIST data set. The comparative results of two models: classical and quantum neural networks of a similar number of training parameters, indicate that the quantum network, although its simulation is time-consuming, overcomes the classical network (it has better convergence and achieves higher training and testing accuracy). © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Image recognition; Quantum circuit; Quantum computing; Quantum data representation; Quantum neural network,,"International Conference on Image Processing and Communications, IPandC 2021, International Conference on Computer Recognition Systems, CORES 2021 and International Conference on Advanced Computer Systems, ACS 2021"
Jahin M.A.; Shovon M.S.H.; Islam M.S.; Shin J.; Mridha M.F.; Okuyama Y.,QAmplifyNet: pushing the boundaries of supply chain backorder prediction using interpretable hybrid quantum-classical neural network,2023,Scientific Reports,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174971436&doi=10.1038%2fs41598-023-45406-7&partnerID=40&md5=e9a1063a6463ffa62e8eb7d131330806,"Supply chain management relies on accurate backorder prediction for optimizing inventory control, reducing costs, and enhancing customer satisfaction. Traditional machine-learning models struggle with large-scale datasets and complex relationships. This research introduces a novel methodological framework for supply chain backorder prediction, addressing the challenge of collecting large real-world datasets with 90% accuracy. Our proposed model demonstrates remarkable accuracy in predicting backorders on short and imbalanced datasets. We capture intricate patterns and dependencies by leveraging quantum-inspired techniques within the quantum-classical neural network QAmplifyNet. Experimental evaluations on a benchmark dataset establish QAmplifyNet’s superiority over eight classical models, three classically stacked quantum ensembles, five quantum neural networks, and a deep reinforcement learning model. Its ability to handle short, imbalanced datasets makes it ideal for supply chain management. We evaluate seven preprocessing techniques, selecting the best one based on logistic regression’s performance on each preprocessed dataset. The model’s interpretability is enhanced using Explainable artificial intelligence techniques. Practical implications include improved inventory control, reduced backorders, and enhanced operational efficiency. QAmplifyNet also achieved the highest F1-score of 94% for predicting “Not Backorder” and 75% for predicting “backorder,” outperforming all other models. It also exhibited the highest AUC-ROC score of 79.85%, further validating its superior predictive capabilities. QAmplifyNet seamlessly integrates into real-world supply chain management systems, empowering proactive decision-making and efficient resource allocation. Future work involves exploring additional quantum-inspired techniques, expanding the dataset, and investigating other supply chain applications. This research unlocks the potential of quantum computing in supply chain optimization and paves the way for further exploration of quantum-inspired machine learning models in supply chain management. Our framework and QAmplifyNet model offer a breakthrough approach to supply chain backorder prediction, offering superior performance and opening new avenues for leveraging quantum-inspired techniques in supply chain management. © 2023, Springer Nature Limited.",,article; artificial intelligence; decision making; inventory control; learning; machine learning; prediction; receiver operating characteristic; reinforcement (psychology); resource allocation,
,"7th Russian Supercomputing Days Conference, RuSCDays 2021",2021,Communications in Computer and Information Science,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123304629&partnerID=40&md5=97d3753aaffdccff155c9ad4f0f3793f,"The proceedings contain 40 papers. The special focus in this conference is on Russian Supercomputing Day. The topics include: Implementation of Elliptic Solvers Within ParCS Parallel Framework; JAD-Based SpMV Kernels Using Multiple-Precision Libraries for GPUs; Modeling the Process of Mixing Water in the Estuarine Area in the Presence of a Density Gradient of the Aquatic Environment Using Hybrid MPI/OpenMP Technology; multicomp: Software Package for Multiscale Simulations; parallel Algorithm for Calculating the Radius of Stability in Multicriteria Optimization Conditions for Catalytic Reforming of Gasoline; parallel Global Search Algorithm for Optimization of the Kinetic Parameters of Chemical Reactions; parameters Optimization of Linear and Nonlinear Solvers in GeRa Code; quantum-Chemical Calculations of the Structure and Thermochemical Properties of 3,6-bis(2,2,2-trinitroethylnitramino)-1,2,4,5-tetrazine; Solution of Large-Scale Black Oil Recovery Problem in Parallel Using INMOST Platform; Application of Docking and Quantum Chemistry to the Search for Inhibitors of SARS-CoV-2 Main Protease; Supercomputer Simulation of Turbulent Flow Around Isolated UAV Rotor and Associated Acoustic Fields; using 16-th Order Multioperators-Based Scheme for Supercomputer Simulation of the Initial Stage of Laminar-Turbulent Transitions; wave Spectrum of Flowing Drops; advanced Genetic Algorithm in the Problem of Linear Solver Parameters Optimization; Analysis of Software Package Usage Based on Methods for Identifying Similar HPC Applications; Comparative Efficiency Analysis of MPI Blocking and Non-blocking Communications with Coarray Fortran; Investigating Performance of the XAMG Library for Solving Linear Systems with Multiple Right-Hand Sides; “Mini-Benchmarking” Approach to Optimize Evolutionary Methods of Neural Architecture Search; on the Prospects of Quantum Computing in Models of Social Behavior; Qualitative and Quantitative Study of Modern GPU Synchronization Approaches; calculation of Integral Coefficients for Correlation Magnetodynamics and Verification of the Theory; rust Language for Supercomputing Applications; study of the Algorithms Information Structure as the Basis of a Training Workshop; multi-cloud Privacy-Preserving Logistic Regression.",,,"7th Russian Supercomputing Days Conference, RuSCDays 2021"
Alam M.; Ghosh S.,DeepQMLP: A Scalable Quantum-Classical Hybrid Deep Neural Network Architecture for Classification,2022,"Proceedings - 2022 35th International Conference on VLSI Design, VLSID 2022 - held concurrently with 2022 21st International Conference on Embedded Systems, ES 2022",0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139260193&doi=10.1109%2fVLSID2022.2022.00060&partnerID=40&md5=7aae8e8d69c7ce0f1329155c0873fcc8,"Quantum machine learning (QML) is promising for potential speedups and improvements in conventional machine learning (ML) tasks (e.g., classification/regression). The search for ideal QML models is an active research field. This includes identification of efficient classical-to-quantum data encoding scheme, construction of parametric quantum circuits (PQC) with optimal expressivity and entanglement capability, and efficient output decoding scheme to minimize the required number of measurements, to name a few. However, most of the empirical/numerical studies lack a clear path towards scalability. Any potential benefit observed in a simulated environment may diminish in practical applications due to the limitations of noisy quantum hardware (e.g., under decoherence, gate-errors, and crosstalk). We present a scalable quantum-classical hybrid deep neural network (DeepQMLP) architecture inspired by classical deep neural network architectures. In DeepQMLP, stacked shallow Quantum Neural Network (QNN) models mimic the hidden layers of a classical feed-forward multi-layer perceptron network. Each QNN layer produces a new and potentially rich representation of the input data for the next layer. This new representation can be tuned by the parameters of the circuit. Shallow QNN models experience less decoherence, gate errors, etc. which make them (and the network) more resilient to quantum noise. We present numerical studies on a variety of classification problems to show the trainability of DeepQMLP. We also show that DeepQMLP performs reasonably well on unseen data and exhibits greater resilience to noise over QNN models that use a deep quantum circuit. DeepQMLP provided up to 25.3% lower loss and 7.92% higher accuracy during inference under noise than QMLP.  © 2022 IEEE.",n/a,Deep neural networks; Embeddings; Multilayer neural networks; Network architecture; Network layers; Quantum entanglement; Quantum noise; Qubits; Decoherence; Gate errors; Machine-learning; N/a; Neural network architecture; Neural network model; Quantum circuit; Quantum machines; Quantum neural networks; Quantum-classical; Neural network models,"35th International Conference on VLSI Design, VLSID 2022 - held concurrently with 2022 21st International Conference on Embedded Systems, ES 2022"
Alaminos D.; Salas M.B.; Fernández-Gámez M.A.,FORECASTING STOCK MARKET CRASHES VIA REAL-TIME RECESSION PROBABILITIES: A QUANTUM COMPUTING APPROACH,2022,Fractals,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133834241&doi=10.1142%2fS0218348X22401624&partnerID=40&md5=5b09bcc63cd63d0238b96451ee04c498,"A fast and precise prediction of stock market crashes is an important aspect of economic growth, fiscal and monetary systems because it facilitates the government in the application of suitable policies. Many works have examined the behavior of the fall of stock markets and have built models to predict them. Nevertheless, there are limitations to the available research, and the literature calls for more investigation on the topic, as currently the accuracy of the models remains low and they have only been extended for the largest economies. This study provides a comparison of quantum forecast methods and stock market declines and, therefore, a new prediction model of stock market crashes via real-time recession probabilities with the power to accurately estimate future global stock market downturn scenarios is achieved. A 104-country sample has been used, allowing the sample compositions to take into account the regional diversity of the alert warning indicators. To obtain a robust model, several alternative techniques have been employed on the sample under study, being Quantum Boltzmann Machines, which have obtained very good prediction results due to their ability to remember features and develop long-term dependencies from time series and sequential data. Our model has large policy implications for the appropriate macroeconomic policy response to downside risks, offering tools to help achieve financial stability at the international level.  © 2022 The Author(s).",Forecasting; Quantum Computing; Quantum Neural Networks; Quantum Support Vector Regression; Stock Market Crashes; Systemic Risk,Commerce; Electronic trading; Financial markets; Public policy; Quantum computers; Economic growths; Growth systems; Monetary system; Quantum Computing; Quantum neural networks; Quantum support vector regression; Real- time; Stock market crashes; Support vector regressions; Systemic risks; Forecasting,
Suzuki T.; Katouda M.,Predicting toxicity by quantum machine learning,2020,Journal of Physics Communications,11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123277533&doi=10.1088%2f2399-6528%2fabd3d8&partnerID=40&md5=04e289c9ea9ad2530245bf6df174887f,"In recent years, parameterized quantum circuits have been regarded as machine learning models within the framework of the hybrid quantum-classical approach. Quantum machine learning (QML) has been applied to binary classification problems and unsupervised learning. However, practical quantum application to nonlinear regression tasks has received considerably less attention. Here, we developQMLmodels designed for predicting the toxicity of 221 phenols on the basis of quantitative structure activity relationship. The results suggest that our data encoding enhanced by quantum entanglement provided more expressive power than the previous ones, implying that quantum correlation could be beneficial for the feature map representation of classical data. OurQMLmodels performed significantly better than the multiple linear regression method. Furthermore, our simulations indicate that theQMLmodels were comparable to those obtained using radial basis function networks, while improving the generalization performance. The present study implies that QMLcould be an alternative approach for nonlinear regression tasks such as cheminformatics.  © 2020 The Author(s).",Drug discovery; Parameterized quantum circuits; QSAR; Quantum computer; Quantum machine learning,,
Wach N.L.; Rudolph M.S.; Jendrzejewski F.; Schmitt S.,Data re-uploading with a single qudit,2023,Quantum Machine Intelligence,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168305199&doi=10.1007%2fs42484-023-00125-0&partnerID=40&md5=a36a704bf177273dd23b36935e0ffef9,"Quantum two-level systems, i.e., qubits, form the basis for most quantum machine learning approaches that have been proposed throughout the years. However, higher dimensional quantum systems constitute a promising alternative and are increasingly explored in theory and practice. Here, we explore the capabilities of multi-level quantum systems, so-called qudits, for their use in a quantum machine learning context. We formulate classification and regression problems with the data re-uploading approach and demonstrate that a quantum circuit operating on a single qudit is able to successfully learn highly non-linear decision boundaries of classification problems such as the MNIST digit recognition problem. We demonstrate that the performance strongly depends on the relation between the qudit states representing the labels and the structure of labels in the training data set. Such a bias can lead to substantial performance improvement over qubit-based circuits in cases where the labels, the qudit states, and the operators employed to encode the data are well-aligned. Furthermore, we elucidate the influence of the choice of the elementary operators and show that a squeezing operator is necessary to achieve good performances. We also show that there exists a trade-off for qudit systems between the number of circuit-generating operators in each processing layer and the total number of layers needed to achieve a given accuracy. Finally, we compare classification results from numerically exact simulations and their equivalent implementation on actual IBM quantum hardware. The findings of our work support the notion that qudit-based algorithms exhibit attractive traits and constitute a promising route to increasing the computational capabilities of quantum machine learning approaches. © 2023, The Author(s).",Data re-uploading; Parameterized quantum circuits; Quantum machine learning; Qudits,Classification (of information); Computation theory; Economic and social effects; Quantum optics; Qubits; Timing circuits; Data re-uploading; Machine learning approaches; Machine-learning; Parameterized; Parameterized quantum circuit; Performance; Quantum circuit; Quantum machine learning; Quantum machines; Qudit; Machine learning,
Robbiati M.; Efthymiou S.; Pasquale A.; Carrazza S.,A quantum analytical Adam descent through parameter shift rule using Qibo,2022,Proceedings of Science,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149988046&partnerID=40&md5=b800343d1d23fe1056ea53d54682968b,"In this proceedings we present quantum machine learning optimization experiments using stochastic gradient descent with the parameter shift rule algorithm. We first describe the gradient evaluation algorithm and its optimization procedure implemented using the Qibo framework. After numerically testing the implementation using quantum simulation on classical hardware, we perform successfully a full quantum hardware optimization exercise using a single superconducting qubit chip controlled by Qibo. We show results for a quantum regression model by comparing simulation to real hardware optimization. © Copyright owned by the author(s) under the terms of the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License (CC BY-NC-ND 4.0)",,Gradient methods; Optimization; Quantum chemistry; Regression analysis; Stochastic systems; Evaluation algorithm; Hardware optimization; Learning optimizations; Machine-learning; Optimization procedures; Parameter shifts; Quantum machines; Quantum simulations; Rule algorithms; Stochastic gradient descent; Machine learning,"41st International Conference on High Energy Physics, ICHEP 2022"
Glisic S.G.; Lorenzo B.,Artificial Intelligence and Quantum Computing for Advanced Wireless Networks,2022,Artificial Intelligence and Quantum Computing for Advanced Wireless Networks,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160120045&doi=10.1002%2f9781119790327&partnerID=40&md5=bad7307d737186c7b60256dd03310505,"ARTIFICIAL INTELLIGENCE AND QUANTUM COMPUTING FOR ADVANCED WIRELESS NETWORKS: A comprehensive presentation of the implementation of artificial intelligence and quantum computing technology in large-scale communication networks Increasingly dense and flexible wireless networks require the use of artificial intelligence (AI) for planning network deployment, optimization, and dynamic control. Machine learning algorithms are now often used to predict traffic and network state in order to reserve resources for smooth communication with high reliability and low latency. In Artificial Intelligence and Quantum Computing for Advanced Wireless Networks, the authors deliver a practical and timely review of AI-based learning algorithms, with several case studies in both Python and R. The book discusses the game-theory-based learning algorithms used in decision making, along with various specific applications in wireless networks, like channel, network state, and traffic prediction. Additional chapters include Fundamentals of ML, Artificial Neural Networks (NN), Explainable and Graph NN, Learning Equilibria and Games, AI Algorithms in Networks, Fundamentals of Quantum Communications, Quantum Channel, Information Theory and Error Correction, Quantum Optimization Theory, and Quantum Internet, to name a few. The authors offer readers an intuitive and accessible path from basic topics on machine learning through advanced concepts and techniques in quantum networks. Readers will benefit from: A thorough introduction to the fundamentals of machine learning algorithms, including linear and logistic regression, decision trees, random forests, bagging, boosting, and support vector machines An exploration of artificial neural networks, including multilayer neural networks, training and backpropagation, FIR architecture spatial-temporal representations, quantum ML, quantum information theory, fundamentals of quantum internet, and more Discussions of explainable neural networks and XAI Examinations of graph neural networks, including learning algorithms and linear and nonlinear GNNs in both classical and quantum computing technology Perfect for network engineers, researchers, and graduate and masters students in computer science and electrical engineering, Artificial Intelligence and Quantum Computing for Advanced Wireless Networks is also an indispensable resource for IT support staff, along with policymakers and regulators who work in technology. © 2022 John Wiley & Sons Ltd. All rights reserved.",,,
Reddy P.; Bhattacherjee A.B.,A hybrid quantum regression model for the prediction of molecular atomization energies,2021,Machine Learning: Science and Technology,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103559924&doi=10.1088%2f2632-2153%2fabd486&partnerID=40&md5=3b3179d1be4195ef70a5639f16d797cd,"Quantum machine learning is a relatively new research field that aims to combine the dramatic performance advantage offered by quantum computing and the ability of machine learning algorithms to learn complex distributions of high-dimensional data. The primary focus of this domain is the implementation of classical machine learning algorithms in the quantum mechanical domain and study of the speedup due to quantum parallelism, which could enable the development of novel techniques for solving problems such as quantum phase recognition and quantum error correction optimization. In this paper, we propose a hybrid quantum machine learning pipeline for predicting the atomization energies of various molecules using the nuclear charges and atomic positions of the constituent atoms. Firstly, we will be using a deep convolutional auto-encoder model for the feature extraction of data constructed from the eigenvalues and eigenvector centralities of the pairwise distance matrix calculated from atomic positions and the unrolled upper triangle of each Coulomb matrix calculated from nuclear charges, and we will then be using a quantum regression algorithm such as quantum linear regression, quantum radial basis function neural network and, a quantum neural network for estimating the atomization energy. The hybrid quantum neural network models do not seem to provide any speedup over their classical counterparts. Before implementing a quantum algorithm, we will also be using state-of-the-art classical machine learning and deep learning models such as XGBoost, multilayer perceptron, deep convolutional neural network, and a long short-term memory network to study the correlation between the extracted features and corresponding atomization energies of molecules.  © 2021 The Author(s).",Atomization energies; Quantum machine learning; Quantum neural network; Quantum regression model,Atomization; Atoms; Clustering algorithms; Convolution; Convolutional neural networks; Deep learning; Deep neural networks; Eigenvalues and eigenfunctions; Error correction; Learning algorithms; Learning systems; Matrix algebra; Molecules; Multilayer neural networks; Quantum computers; Radial basis function networks; Regression analysis; Classical counterpart; Eigenvalues and eigenvector; High dimensional data; Molecular atomization energies; Quantum error corrections; Quantum neural networks; Radial basis function neural networks; Regression algorithms; Quantum theory,
Lourenço M.P.; Herrera L.B.; Hostaš J.; Calaminici P.; Köster A.M.; Tchagang A.; Salahub D.R.,A new active learning approach for adsorbate–substrate structural elucidation in silico,2022,Journal of Molecular Modeling,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131170905&doi=10.1007%2fs00894-022-05173-0&partnerID=40&md5=e58b8e39b0c9b6aedc91243eafeb92c3,"Adsorbate interactions with substrates (e.g. surfaces and nanoparticles) are fundamental for several technologies, such as functional materials, supramolecular chemistry, and solvent interactions. However, modeling these kinds of systems in silico, such as finding the optimum adsorption geometry and energy, is challenging, due to the huge number of possibilities of assembling the adsorbate on the surface. In the current work, we have developed an artificial intelligence (AI) approach based on an active learning (AL) method for adsorption optimization on the surface of materials. AL uses machine learning (ML) regression algorithms and their uncertainties to make a decision (based on a policy) for the next unexplored structures to be computed, increasing, though, the probability of finding the global minimum with a small number of calculations. The methodology allows an accurate and automated structural elucidation of the adsorbate on the surface, based on the minimization of the total electronic energy. The new AL method for adsorption optimization was developed and implemented in the quantum machine learning software/agent for material design and discovery (QMLMaterial) program and was applied for C60@TiO2 anatase (101). It marks another software extension with a new feature in addition to the automatic structural elucidation of defects in materials and of nanoparticles as well. SCC-DFTB calculations were used to build the complex search surfaces with a reasonably low computational cost. An artificial neural network (NN) was employed in the AL framework evaluated together with two uncertainty quantification methods: K-fold cross-validation and non-parametric bootstrap (BS) resampling. Also, two different acquisition functions for decision-making were used: expected improvement (EI) and the lower confidence bound (LCB). Graphical abstract: [Figure not available: see fulltext.] © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",Active learning; Adsorption; Functional materials; Machine learning; SCC-DFTB,"Adsorption; Artificial Intelligence; Machine Learning; Neural Networks, Computer; Software; titanium dioxide; active learning; adsorption; Article; artificial intelligence; artificial neural network; computer model; cross validation; decision making; k fold cross validation; machine learning; quantum chemistry; supramolecular chemistry; adsorption; software",
Mohammadisiahroudi M.; Wu Z.; Augustino B.; Terlaky T.; Carr A.,Quantum-enhanced Regression Analysis Using State-of-the-art QLSAs and QIPMs,2022,"Proceedings - 2022 IEEE/ACM 7th Symposium on Edge Computing, SEC 2022",0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146652235&doi=10.1109%2fSEC54971.2022.00055&partnerID=40&md5=d9878d6db0a729c2137d79c493a54626,"Quantum computing has the potential to speed up machine learning methods. One major direction is using quantum linear algebra to solve linear system problems or optimization problems in the machine learning area. Quantum approaches in the literature for different types of least squares problems demonstrate speedups w.r.t. dimension but have disadvantages w.r.t. precision and condition number. In this paper, we discuss how an iterative refinement scheme can deliver an accurate solution without the excessive cost of Quantum Linear System Algorithms (QLSAs). In addition, we propose an adaptive regularization approach that can mitigate the effect of condition number on solution time. In the second part of this paper, we investigate how state-of-the-art Quantum Interior Point Methods (QIPMs) can solve more sophisticated regression problems such as Lasso regression and support vector machine problems, which can be reformulated as quadratic optimization problems.  © 2022 IEEE.",Iterative Refinement; Lasso Regression; Least Squares Method; Quantum Interior Point Method; Quantum Linear System Algorithm; Quantum Machine Learning; Support Vector Machine,Iterative methods; Learning systems; Least squares approximations; Linear algebra; Linear programming; Linear systems; Number theory; Quadratic programming; Quantum computers; Quantum theory; Regression analysis; Interior-point method; Iterative refinement; Lasso regressions; Least-squares- methods; Machine-learning; Quantum interior point method; Quantum linear system algorithm; Quantum linear systems; Quantum machine learning; Quantum machines; Support vectors machine; System algorithm; Support vector machines,"7th IEEE/ACM Symposium on Edge Computing, SEC 2022"
Agarwal P.; Alam M.,Quantum-Inspired Support Vector Machines for Human Activity Recognition in Industry 4.0,2022,Lecture Notes on Data Engineering and Communications Technologies,7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122436390&doi=10.1007%2f978-981-16-6289-8_24&partnerID=40&md5=afe96fe0349df2231a6149a43620fe36,"In Industry 4.0, robots and humans share roles and responsibilities. Many industries, such as manufacturing and logistics, still depend heavily on manual labor. However, by integrating sensor technology and data processing, different processes can be appropriately tracked and streamlined. Comprehensive knowledge of the occurrence, duration, and properties of related human activities is needed to draw inferences on enhancing employee performance. The increased use of numerous wearable sensors to monitor human activities has resulted in an unexpected data explosion. The pace at which this data is being generated is expected to outpace conventional technology’s ability to handle it by 2030. At present, quantum computing is the most promising market solution. This paper proposes the use of a quantum support vector machines for human activity recognition. As compared to various state-of-the-art machine learning algorithms, such as linear discriminant analysis (LDA), logistic regression, k-nearest neighbor (kNN), and conventional support vector machines (SVMs) with three different kernels, the proposed approach takes the lead by achieving an accuracy of 98% with execution time of 19 s. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",Human activity recognition (HAR); Industry 4.0; Machine learning; Quantum computing; Quantum support vector machines (QSVMs),Data handling; Discriminant analysis; Industry 4.0; Learning algorithms; Nearest neighbor search; Pattern recognition; Quantum computers; Vectors; Wearable sensors; Human activities; Human activity recognition; Integrating sensors; Manual labors; Quantum Computing; Quantum support vector machine; Sensor technologies; Sensors data; Support vectors machine; Support vector machines,
