Authors,Title,Year,Source title,Cited by,Link,Abstract,DOI,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Publisher,Sponsors,Conference name,Conference date,Conference location,Document Type,Open Access
Cheng Z.; Zhang K.; Shen L.; Tao D.,Quantum Imitation Learning,2024,IEEE Transactions on Neural Networks and Learning Systems,1,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85161011619&doi=10.1109%2fTNNLS.2023.3275075&partnerID=40&md5=0aa01f5408da25a685528568ec826379,"Despite remarkable successes in solving various complex decision-making tasks, training an imitation learning (IL) algorithm with deep neural networks (DNNs) suffers from the high-computational burden. In this work, we propose quantum IL (QIL) with a hope to utilize quantum advantage to speed up IL. Concretely, we develop two QIL algorithms: quantum behavioral cloning (Q-BC) and quantum generative adversarial IL (Q-GAIL). Q-BC is trained with a negative log-likelihood (NLL) loss in an offline manner that suits extensive expert data cases, whereas Q-GAIL works in an inverse reinforcement learning (IRL) scheme, which is online, on-policy, and is suitable for limited expert data cases. For both QIL algorithms, we adopt variational quantum circuits (VQCs) in place of DNNs for representing policies, which are modified with data reuploading and scaling parameters to enhance the expressivity. We first encode classical data into quantum states as inputs, then perform VQCs, and finally measure quantum outputs to obtain control signals of agents. Experiment results demonstrate that both Q-BC and Q-GAIL can achieve comparable performance compared to classical counterparts, with the potential of quantum speedup. To our knowledge, we are the first to propose the concept of QIL and conduct pilot studies, which paves the way for the quantum era.  © 2012 IEEE.",10.1109/TNNLS.2023.3275075,"The University of Sydney, School of Computer Science, Faculty of Engineering, Darlington, 2008, NSW, Australia; JD Explore Academy, Beijing, 101111, China","Cheng Z., The University of Sydney, School of Computer Science, Faculty of Engineering, Darlington, 2008, NSW, Australia; Zhang K., The University of Sydney, School of Computer Science, Faculty of Engineering, Darlington, 2008, NSW, Australia; Shen L., JD Explore Academy, Beijing, 101111, China; Tao D., The University of Sydney, School of Computer Science, Faculty of Engineering, Darlington, 2008, NSW, Australia",Behavioral cloning (BC); imitation learning (IL); inverse reinforcement learning (IRL); quantum IL (QIL); variational quantum circuits (VQCs),Behavioral research; Cloning; Decision making; Job analysis; Quantum optics; Reinforcement learning; Behavioral cloning; Behavioral science; Behavioural cloning; Imitation learning; Inverse reinforcement learning; Quantum circuit; Quantum Computing; Quantum imitation learning; Reinforcement learnings; Task analysis; Variational quantum circuit; article; deep neural network; human; imitation; learning; learning algorithm; pilot study; reinforcement (psychology); velocity; Deep neural networks,Institute of Electrical and Electronics Engineers Inc.,,,,,Article,All Open Access; Green Open Access
,"10th Latin American Conference on High Performance Computing, CARLA 2023",2024,Communications in Computer and Information Science,0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85185770321&partnerID=40&md5=bd4de7ee8765e9cf7e1870d8f053b671,The proceedings contain 15 papers. The special focus in this conference is on High Performance Computing. The topics include: What Does a Nation-Wide Digital Nervous System Use for an Operating System?; The Impact of CUDA Execution Configuration Parameters on the Performance and Energy of a Seismic Application; high-Performance Computing for Astrophysical Simulations and Astroparticle Observations; improvement of the Simulation of the Degradation of Reinforced Concrete in Saltwater Environments Using Directives; parallel Hybrid-Heterogeneous Single Value Decomposition Factorization; Enhancing a GPU-Based Wave Propagation Application Through Loop Tiling and Loop Fission Optimizations; acceleration of High-Dimensional Quantum Computing Simulator QuantumSkynet; multi-objective Analysis of Power Consumption and Quality of Service in Datacenters for Effective Demand Response; enhancing the Sparse Matrix Storage Using Reordering Techniques; towards Fault Tolerance and Resilience in the Sequential Codelet Model; parallel-Distributed Implementation of the Lipizzaner Framework for Multiobjective Coevolutionary Training of Generative Adversarial Networks; provenance-Based Dynamic Fine-Tuning of Cross-Silo Federated Learning; A GPU Numerical Implementation of a 2D Simplified Wildfire Spreading Model.,,,,,,Springer Science and Business Media Deutschland GmbH,,"10th Latin American Conference on High Performance Computing, CARLA 2023",18 September 2023 through 22 September 2023,Cartagena,Conference review,
Phan Q.B.; Nguyen L.; Nguyen T.T.; Nguyen D.C.,Privacy-Preserving X-ray Image Enhancement: A GAN-Cybersecurity-Based Approach,2024,Digest of Technical Papers - IEEE International Conference on Consumer Electronics,2,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85186993681&doi=10.1109%2fICCE59016.2024.10444428&partnerID=40&md5=efaef5f460ad02f60fba961a24856b29,"This paper presents a novel two-stage approach to enhance the quality and privacy of X-ray medical images. The first stage leverages generative adversarial networks (GANs) for effective denoising, eliminating noise and artifacts from X-ray images while improving the visibility of critical anatomical structures. Subsequently, number-Theoretic transform (NTT) polynomial multiplication is integrated with Kyber to accelerate the encryption and decryption of the denoised X-ray images. This encryption safeguards the privacy of sensitive patient data and provides resilience against potential quantum computing attacks, ensuring long-Term data security. Implementing Kyber-based encryption and decryption on a graphics processing unit (GPU) architecture significantly reduces latency, enabling real-Time and secure access to critical healthcare information.  © 2024 IEEE.",10.1109/ICCE59016.2024.10444428,"Northern Arizona University, School of Informatics, Computing, and Cyber Systems, Flagstaff, 86011, AZ, United States; The University of Alabama in Huntsville, Department of Electrical and Computer Engineering, Huntsville, 35899, AL, United States","Phan Q.B., Northern Arizona University, School of Informatics, Computing, and Cyber Systems, Flagstaff, 86011, AZ, United States; Nguyen L., Northern Arizona University, School of Informatics, Computing, and Cyber Systems, Flagstaff, 86011, AZ, United States; Nguyen T.T., Northern Arizona University, School of Informatics, Computing, and Cyber Systems, Flagstaff, 86011, AZ, United States; Nguyen D.C., The University of Alabama in Huntsville, Department of Electrical and Computer Engineering, Huntsville, 35899, AL, United States",GANs; Images denoising; Kyber; number theoretic transform,Computer graphics; Computer graphics equipment; Cryptography; Cybersecurity; Graphics processing unit; Hospital data processing; Image denoising; Medical imaging; Program processors; Quantum computers; Sensitive data; Cyber security; De-noising; Eliminating noise; Encryption and decryption; Kyber; Number-theoretic transforms; Privacy preserving; Two-stage approaches; X-ray image; X-ray medical images; Image enhancement,Institute of Electrical and Electronics Engineers Inc.,Adeia; Consumer Technology Association (CES); The University of Las Vegas (UNLV),"2024 IEEE International Conference on Consumer Electronics, ICCE 2024",6 January 2024 through 8 January 2024,Las Vegas,Conference paper,
Hanafi B.; Bokhari M.U.; Khan I.,Enhancing Post-Quantum Cryptography with Adversarial Neural Cryptography,2024,"Proceedings of the 18th INDIAcom; 2024 11th International Conference on Computing for Sustainable Global Development, INDIACom 2024",0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85191717701&doi=10.23919%2fINDIACom61295.2024.10498577&partnerID=40&md5=7c5b10a26cc5dae2ef004c9310396728,"An Individual in the present time is surrounded with advanced computing technology in several forms. It is expected that in the very near future, Quantum Computers will be replacing the fastest computer systems of present times and will be having enough computational power to bring down the most prevailing cryptographic algorithm. The information that is being shared between different users on the Internet will be at risk in that particular scenario even after significant changes, like increasing the key size or using more complicated mathematical calculations for encrypting the text, which won't be able to protect the integrity of the system. Several types of research are being carried out to protect the data and make systems resilient to the assaults made by the Quantum Computers of the Future. In this Research, a dynamic type of cryptography is discussed that has a lot of potential to overcome this situation in Post Quantum Scenario, namely Adversarial Neural Cryptography. Adversarial Neural Cryptography works on the architecture of Generative Adversarial Networks where two Neural Networks try to communicate with each other and protect the communication channel and a third Neural Network tries to compromise the connection. The conducted research also explores the computing applicability of the presented notion and its effect in the post-quantum Scenario.  © 2024 Bharati Vidyapeeth, New Delhi.",10.23919/INDIACom61295.2024.10498577,"Aligarh Muslim University, Department of Computer Science, Aligarh, India","Hanafi B., Aligarh Muslim University, Department of Computer Science, Aligarh, India; Bokhari M.U., Aligarh Muslim University, Department of Computer Science, Aligarh, India; Khan I., Aligarh Muslim University, Department of Computer Science, Aligarh, India",Adversarial Neural Cryptography; Generative Adversarial Networks; Quantum computing; Security,Quantum computers; Quantum cryptography; Risk perception; Adversarial neural cryptography; Computational power; Computing technology; Neural Cryptography; Neural-networks; Post quantum; Post quantum cryptography; Quanta computers; Quantum Computing; Security; Generative adversarial networks,Institute of Electrical and Electronics Engineers Inc.,,"18th INDIAcom; 11th International Conference on Computing for Sustainable Global Development, INDIACom 2024",28 February 2024 through 1 March 2024,New Delhi,Conference paper,
Bhatuse A.; Khandelwal A.; Chandra M.G.,Generative Learning with Qopula Circuits,2024,"2024 16th International Conference on COMmunication Systems and NETworkS, COMSNETS 2024",0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85186711712&doi=10.1109%2fCOMSNETS59351.2024.10427073&partnerID=40&md5=7ba74226dffebfce55910071488b2339,"Multivariate distribution modeling is a crucial process employed to capture dependencies in experimental data in areas like physics, chemistry, finance, and climate science. Copula distributions are a special class of multivariate distributions that have uniform marginals and have been studied extensively to model non-trivial dependencies in high-dimensional data. In the last decade, various ways of applying machine learning techniques to model copulas have been proposed to improve the pre-existing parametric models. Recently, with the advent of uniting machine learning and quantum computing, quantum generative models have been used to generate various data objects like images, probability distributions, natural language data, etc, using hybrid models that have both classical and quantum components. In this paper, we build on the recent work on utilizing quantum circuits to generate copulas and aim to provide a near-holistic study of how different quantum generative models can be implemented and tuned to capture correlations in real-world finance data.  © 2024 IEEE.",10.1109/COMSNETS59351.2024.10427073,"Veermata Jijabai Technological Institute, Ce & It Department, India; Tata Consultancy Services, Tcs Research, India","Bhatuse A., Veermata Jijabai Technological Institute, Ce & It Department, India, Tata Consultancy Services, Tcs Research, India; Khandelwal A., Tata Consultancy Services, Tcs Research, India; Chandra M.G., Tata Consultancy Services, Tcs Research, India",Copula; Genetic Algorithms; multivariate distribution modeling; QCBM; QGAN; qopula circuits,Clustering algorithms; Learning systems; Machine components; Machine learning; Probability distributions; Quantum computers; Timing circuits; Climate science; Copula; Distribution models; Generative model; Multivariate distribution modeling; Multivariate distributions; QCBM; QGAN; Qopula circuit; Special class; Genetic algorithms,Institute of Electrical and Electronics Engineers Inc.,,"16th International Conference on COMmunication Systems and NETworkS, COMSNETS 2024",3 January 2024 through 7 January 2024,Bengaluru,Conference paper,
Parigi M.; Martina S.; Caruso F.,Quantum-Noise-Driven Generative Diffusion Models,2024,Advanced Quantum Technologies,4,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85198338382&doi=10.1002%2fqute.202300401&partnerID=40&md5=9af71b6ad78edd3f5f21dc993ffe8078,"Generative models realized with Machine Learning (ML) techniques are powerful tools to infer complex and unknown data distributions from a finite number of training samples in order to produce new synthetic data. Diffusion Models (DMs) are an emerging framework that have recently overcome Generative Adversarial Networks (GANs) in creating high-quality images. Here, is proposed and discussed the quantum generalization of DMs, i.e., three Quantum-Noise-Driven Generative Diffusion Models (QNDGDMs) that could be experimentally tested on real quantum systems. The idea is to harness unique quantum features, in particular the non-trivial interplay among coherence, entanglement, and noise that the currently available noisy quantum processors do unavoidably suffer from, in order to overcome the main computational burdens of classical diffusion models during inference. Hence, the suggestion is to exploit quantum noise not as an issue to be detected and solved but instead as a beneficial key ingredient to generate complex probability distributions from which a quantum processor might sample more efficiently than a classical one. Three examples of the numerical simulations are also included for the proposed approaches. The results are expected to pave the way for new quantum-inspired or quantum-based generative diffusion algorithms addressing tasks as data generation with widespread real-world applications. © 2024 Wiley-VCH GmbH.",10.1002/qute.202300401,"Department of Physics and Astronomy, University of Florence, Via Sansone 1, Florence, Sesto Fiorentino, 50019, Italy; LENS - European Laboratory for Non-Linear Spectroscopy, University of Florence, Via Nello Carrara 1, Florence, Sesto Fiorentino, 50019, Italy; Istituto Nazionale di Ottica del Consiglio Nazionale delle Ricerche (CNR-INO), Sesto Fiorentino, I-50019, Italy","Parigi M., Department of Physics and Astronomy, University of Florence, Via Sansone 1, Florence, Sesto Fiorentino, 50019, Italy; Martina S., Department of Physics and Astronomy, University of Florence, Via Sansone 1, Florence, Sesto Fiorentino, 50019, Italy, LENS - European Laboratory for Non-Linear Spectroscopy, University of Florence, Via Nello Carrara 1, Florence, Sesto Fiorentino, 50019, Italy; Caruso F., Department of Physics and Astronomy, University of Florence, Via Sansone 1, Florence, Sesto Fiorentino, 50019, Italy, LENS - European Laboratory for Non-Linear Spectroscopy, University of Florence, Via Nello Carrara 1, Florence, Sesto Fiorentino, 50019, Italy, Istituto Nazionale di Ottica del Consiglio Nazionale delle Ricerche (CNR-INO), Sesto Fiorentino, I-50019, Italy",diffusion models; generative models; quantum computing; quantum machine learning; quantum noise,Complex networks; Diffusion; Generative adversarial networks; Probability distributions; Quantum computers; Quantum noise; Quantum optics; Complex data distributions; Diffusion model; Generative model; Machine learning techniques; Machine-learning; Quantum Computing; Quantum machine learning; Quantum machines; Quantum processors; Unknown data distribution; Quantum entanglement,John Wiley and Sons Inc,,,,,Article,
Walton R.D.,"""... God Said"": Toward a Quantum Theology of Creation",2024,Open Theology,0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85184471338&doi=10.1515%2fopth-2022-0244&partnerID=40&md5=0c16d77593bd3583cb5d963ec421e544,"This work argues that because Quantum Mechanics (QM) is superb at simulating natural, physical phenomena, so-called quantum-native phenomena, and that Quantum Natural Language Processing (QNLP), its child, is also quantum-native, God's generative language of physical creation is native to a quantum world; therefore, it is now possible to postulate an argument for God's creation of the world through language without requiring divine revelation. This argument is, in essence, an extension of the Augustinian argument - the baseline argument from mathematics and abstract objects - for the existence of God that accounts for contemporary advances in QM. Additionally, this work invites further research and investigation into applying category theory to model the theistic universe thereby allowing both modeling and simulations of the symbolic world. © 2024 the author(s), published by De Gruyter.",10.1515/opth-2022-0244,"Capitol Technology University, Doctoral Programs, Laurel, MD, United States","Walton R.D., Capitol Technology University, Doctoral Programs, Laurel, MD, United States",category theory; cosmology; creation; DisCoCat; Genesis; John; QNLP; quantum computing; symbolism; theology,,Walter de Gruyter GmbH,,,,,Article,All Open Access; Gold Open Access
Scriva G.; Costa E.; McNaughton B.; Pilati S.,Accelerating equilibrium spin-glass simulations using quantum annealers via generative deep learning,2023,SciPost Physics,3,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85166514227&doi=10.21468%2fSciPostPhys.15.1.018&partnerID=40&md5=d11efee08b4f1f22aae00499860d8fa9,"Adiabatic quantum computers, such as the quantum annealers commercialized by D-Wave Systems Inc., are routinely used to tackle combinatorial optimization problems. In this article, we show how to exploit them to accelerate equilibrium Markov chain Monte Carlo simulations of computationally challenging spin-glass models at low but finite temperatures. This is achieved by training generative neural networks on data produced by a D-Wave quantum annealer, and then using them to generate smart proposals for the Metropolis-Hastings algorithm. In particular, we explore hybrid schemes by combining single spin-flip and neural proposals, as well as D-Wave and classical Monte Carlo training data. The hybrid algorithm outperforms the single spin-flip Metropolis-Hastings algorithm. It is competitive with parallel tempering in terms of correlation times, with the significant benefit of a much shorter equilibration time. Copyright © G. Scriva et al. This work is licensed under the Creative Commons Attribution 4.0 International License. Published by the SciPost Foundation.",10.21468/SciPostPhys.15.1.018,"Physics Division, School of Science and Technology, University of Camerino, MC, Camerino, I-62032, Italy; INFN, Sezione di Perugia, Perugia, I-06123, Italy; Department of Physics, University of Antwerp, Antwerp, B-2020, Belgium","Scriva G., Physics Division, School of Science and Technology, University of Camerino, MC, Camerino, I-62032, Italy, INFN, Sezione di Perugia, Perugia, I-06123, Italy; Costa E., Physics Division, School of Science and Technology, University of Camerino, MC, Camerino, I-62032, Italy, INFN, Sezione di Perugia, Perugia, I-06123, Italy; McNaughton B., Physics Division, School of Science and Technology, University of Camerino, MC, Camerino, I-62032, Italy, Department of Physics, University of Antwerp, Antwerp, B-2020, Belgium; Pilati S., Physics Division, School of Science and Technology, University of Camerino, MC, Camerino, I-62032, Italy, INFN, Sezione di Perugia, Perugia, I-06123, Italy",,,SciPost Foundation,,,,,Article,All Open Access; Gold Open Access; Green Open Access
Nguyen-Duc A.; Arora C.; Abrahamsson P.,Preface of RESET 2023: 2nd International Workshop on Requirement Engineering for Software Startups and Emerging Technologies,2023,"Proceedings - 31st IEEE International Requirements Engineering Conference Workshops, REW 2023",0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85174729710&doi=10.1109%2fREW57809.2023.00070&partnerID=40&md5=10709ebe4040c0c87601d67f3220f5cf,"The Second International Workshop on Requirement Engineering for Software startups and Emerging Technologies (RESET) is a part of the 31st IEEE International Requirements Engineering Conference 2023, held on 4 September 2023. The workshop brought together requirements engineering researchers and practitioners to discuss the need for adapting conventional requirement engineering artifacts (i.e., requirement definition, metrics), processes and practices in developing and operating emerging technologies, including Software Startups, Artificial Intelligence (AI), Blockchain, and Quantum Computing. Participants gained insights into the RE practices, tools, techniques, and frameworks that can help them build scalable, robust, and innovative software-intensive systems. The workshop included a keynote presentation and four paper presentations.  © 2023 IEEE.",10.1109/REW57809.2023.00070,"University of South Eastern Norway, Norway; Monash Univeristy, Australia; Tampere University, Finland","Nguyen-Duc A., University of South Eastern Norway, Norway; Arora C., Monash Univeristy, Australia; Abrahamsson P., Tampere University, Finland",blockhain; generative AI; requirement engineering; software startups; workshop summary,Quantum computers; Block-chain; Blockhain; Emerging technologies; Generative artificial intelligence; International workshops; Quantum Computing; Requirement definitions; Requirement engineering; Software startup; Workshop summary; Requirements engineering,Institute of Electrical and Electronics Engineers Inc.,,"31st IEEE International Requirements Engineering Conference Workshops, REW 2023",4 September 2023 through 8 September 2023,Hannover,Conference paper,
Silver D.; Ranjan A.; Patel T.; Gandhi H.; Cutler W.; Tiwari D.,MosaiQ: Quantum Generative Adversarial Networks for Image Generation on NISQ Computers,2023,Proceedings of the IEEE International Conference on Computer Vision,4,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85183794435&doi=10.1109%2fICCV51070.2023.00647&partnerID=40&md5=f74d079730f64b7caae8cbf92a026375,"Quantum machine learning and vision have come to the fore recently, with hardware advances enabling rapid advancement in the capabilities of quantum machines. Recently, quantum image generation has been explored with many potential advantages over non-quantum techniques; however, previous techniques have suffered from poor quality and robustness. To address these problems, we introduce MosaiQ a high-quality quantum image generation GAN framework that can be executed on today's Near-term Intermediate Scale Quantum (NISQ) computers. © 2023 IEEE.",10.1109/ICCV51070.2023.00647,"Northeastern University, United States; Rice University, United States","Silver D., Northeastern University, United States; Ranjan A., Rice University, United States; Patel T., Northeastern University, United States; Gandhi H., Northeastern University, United States; Cutler W., Northeastern University, United States; Tiwari D., Northeastern University, United States",,High quality; Image generations; Machine-learning; Machine-vision; Quanta computers; Quantum images; Quantum machines; Quantum techniques; Generative adversarial networks,Institute of Electrical and Electronics Engineers Inc.,,"2023 IEEE/CVF International Conference on Computer Vision, ICCV 2023",2 October 2023 through 6 October 2023,Paris,Conference paper,All Open Access; Green Open Access
Jenefa A.; Ebenezer V.; Isaac A.J.; Marshell J.; Pradeepa P.; Naveen V.,Adversarial Attacks on Generative AI Anomaly Detection in the Quantum Era,2023,"7th International Conference on Electronics, Communication and Aerospace Technology, ICECA 2023 - Proceedings",4,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85186117790&doi=10.1109%2fICECA58529.2023.10395092&partnerID=40&md5=f4c4aac7b69b0c071bef8fc702fe5f47,"In the context of the rapidly evolving quantum era, where the capabilities of quantum computing are expanding exponentially, the security and reliability of generative AI anomaly detection systems have come under significant threat from adversarial attacks. This paper delves into the vulnerabilities inherent in existing models in this quantum era and introduces a novel approach aimed at fortifying their resilience. The problem at hand pertains to the susceptibility of conventional generative AI anomaly detection systems to adversarial manipulations, raising critical concerns about their trustworthiness in critical applications. Traditional methods in this domain rely on static models that lack adaptability to defend against quantum-based adversarial attacks, rendering them inadequate for the evolving threat landscape. Our proposed solution combines quantum-resistant algorithms with advanced generative AI techniques to dynamically adapt to emerging attack strategies, resulting in demonstrably enhanced robustness against quantum-based adversarial attacks, as substantiated by our experimental findings. In conclusion, safeguarding generative AI anomaly detection systems against adversarial threats in the quantum era is paramount, and our innovative approach offers a promising avenue for bolstering the security and reliability of these systems in this challenging environment.  © 2023 IEEE.",10.1109/ICECA58529.2023.10395092,"Karunya Institute of Tech. and Sci., Dept. of CSE, Coimbatore, India; SRM Valliammai Engineering College, Dept. of Electronics and Instrumentation Engg, Kattankulathur, India; PSNA College of Engg and Tech., Dept. of IT, Dindigul, India; Sri Shakthi Institute of Engg. and Tech., Dept. of CSE, Coimbatore, India","Jenefa A., Karunya Institute of Tech. and Sci., Dept. of CSE, Coimbatore, India; Ebenezer V., Karunya Institute of Tech. and Sci., Dept. of CSE, Coimbatore, India; Isaac A.J., Karunya Institute of Tech. and Sci., Dept. of CSE, Coimbatore, India; Marshell J., SRM Valliammai Engineering College, Dept. of Electronics and Instrumentation Engg, Kattankulathur, India; Pradeepa P., PSNA College of Engg and Tech., Dept. of IT, Dindigul, India; Naveen V., Sri Shakthi Institute of Engg. and Tech., Dept. of CSE, Coimbatore, India",Adversarial Attacks; Anomaly Detection; Generative Artificial Intelligence; Quantum Computing; Quantum Era,Anomaly detection; Quantum computers; Adversarial attack; AI techniques; Anomaly detection; Anomaly detection systems; Critical applications; Generative artificial intelligence; Quantum Computing; Quantum era; Security and reliabilities; Static modelling; Network security,Institute of Electrical and Electronics Engineers Inc.,,"7th International Conference on Electronics, Communication and Aerospace Technology, ICECA 2023",22 November 2023 through 24 November 2023,Coimbatore,Conference paper,
Ramazyan T.; Kiss O.; Grossi M.; Kajomovitz E.; Vallecorsa S.,Generating muonic force carriers events with classical and quantum neural networks,2023,Journal of Physics: Conference Series,0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85149729211&doi=10.1088%2f1742-6596%2f2438%2f1%2f012089&partnerID=40&md5=32b85a2d387fbb0b7a5c085013170484,"Generative models (GM) are promising applications for near-term quantum computers due to the probabilistic nature of quantum mechanics. This work compares a classical conditional generative adversarial network (CGAN) with a quantum circuit Born machine while addressing their strengths and limitations to generate muonic force carriers (MFCs) events. The former uses a neural network as a discriminator to train the generator, while the latter takes advantage of the stochastic nature of measurements in quantum mechanics to generate samples. We consider a muon fixed-target collision between muons produced at the high-energy collisions of the LHC and the detector material of the ForwArd Search ExpeRiment (FASER) or the ATLAS calorimeter. In the ATLAS case, independent muon measurements performed by the inner detector (ID) and muon system (MS) can help observe new force carriers coupled to muons, which are usually not detected. We numerically observed that CGANs could reproduce the complete data set and interpolate to different regimes. Moreover, we show on a simplified problem that Born machines are promising generative models for near-term quantum devices. © Published under licence by IOP Publishing Ltd.",10.1088/1742-6596/2438/1/012089,"Laboratory of Methods for Big Data Analysis, National Research University Higher School of Economics, Moscow, 109028, Russian Federation; Department of Computer Science, University of Geneva, Geneva, 1211, Switzerland; Openlab, CERN, Meyrin, 1217, Switzerland; Department of Physics, Technion, Haifa, 32000, Israel","Ramazyan T., Laboratory of Methods for Big Data Analysis, National Research University Higher School of Economics, Moscow, 109028, Russian Federation; Kiss O., Department of Computer Science, University of Geneva, Geneva, 1211, Switzerland, Openlab, CERN, Meyrin, 1217, Switzerland; Grossi M., Openlab, CERN, Meyrin, 1217, Switzerland; Kajomovitz E., Department of Physics, Technion, Haifa, 32000, Israel; Vallecorsa S., Openlab, CERN, Meyrin, 1217, Switzerland",,Charged particles; Generative adversarial networks; Quantum theory; Stochastic systems; Classical neural networks; Fixed targets; Generative model; High-energy collisions; Neural-networks; Probabilistics; Quanta computers; Quantum circuit; Quantum neural networks; Stochastic nature; Quantum computers,Institute of Physics,Asia Pacific Center for Theoretical Physics (APCTP); Daejeon International Marketing Enterprise (DIME); Micron; The Korean Physical Society (KPS),"20th International Workshop on Advanced Computing and Analysis Techniques in Physics Research, ACAT 2021",29 November 2021 through 3 December 2021,"Daejeon, Virtual",Conference paper,All Open Access; Gold Open Access
,"12th European Conference on Artificial Intelligence in Music, Sound, Art and Design, EvoMUSART 2023 held as Part of EvoStar 2023",2023,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85152547978&partnerID=40&md5=3bd948f7d2e7009a6e46d7802a5a0aa6,"The proceedings contain 27 papers. The special focus in this conference is on Artificial Intelligence in Music, Sound, Art and Design. The topics include: SketchSynth: Cross-Modal Control of Sound Synthesis; towards the Evolution of Prompts with MetaPrompter; is Writing Prompts Really Making Art?; Using GPT-3 to Achieve Semantically Relevant Data Sonificiation for an Art Installation; using Autoencoders to Generate Skeleton-Based Typography; visual Representation of the Internet Consumption in the European Union; GTR-CTRL: Instrument and Genre Conditioning for Guitar-Focused Music Generation with Transformers; artistic Curve Steganography Carried by Musical Audio; lyricJam Sonic: A Generative System for Real-Time Composition and Musical Improvisation; chordal Embeddings Based on Topology of the Tonal Space; Searching for Human Bias Against AI-Composed Music; fabric Sketch Augmentation & Styling via Deep Learning & Image Synthesis; transposition of Simple Waveforms from Raw Audio with Deep Learning; AI-Aided Ceramic Sculptures: Bridging Deep Learning with Materiality; OSC-Qasm: Interfacing Music Software with Quantum Computing; evoDesigner: Aiding the Exploration of Innovative Graphic Design Solutions; improving Automatic Music Genre Classification Systems by Using Descriptive Statistical Features of Audio Signals; musical Genre Recognition Based on Deep Descriptors of Harmony, Instrumentation, and Segments; music Generation with Multiple Ant Colonies Interacting on Multilayer Graphs; automatically Adding to Artistic Cultures; extending Generative Neo-Riemannian Theory for Event-Based Soundtrack Production; is Beauty in the Age of the Beholder?; Extending the Visual Arts Experience: Sonifying Paintings with AI; application of Neural Architecture Search to Instrument Recognition in Polyphonic Audio; AI-rmonies of the Spheres.",,,,,,Springer Science and Business Media Deutschland GmbH,,"12th European Conference on Artificial Intelligence in Music, Sound, Art and Design, EvoMUSART 2023 held as Part of EvoStar 2023",12 April 2023 through 14 April 2023,Brno,Conference review,
Swan M.; Dos Santos R.P.,Quantum Intelligence: Responsible Human-AI Entities,2023,CEUR Workshop Proceedings,0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85177074269&partnerID=40&md5=d36f717502ce1a2e349aba603f993d99,"The increasing ability to harness quantum, classical, and relativistic scales, together with fastpaced change in generative AI and quantum computing, suggests the possibility of achieving not only technical but also social objectives, through responsible human-AI entities (intelligent agents interacting with competence and empathy). The social cannot be separated from the technical as intelligence may evolve into a platform-agnostic learning and problem-solving capability. A suite of concepts is introduced as quantum intelligence, relativistic intelligence, and scale-free intelligence to denote learning modes which incorporate scale-specific matter and space-time properties of quantum, classical, and relativistic domains. Modern technology has both risk and reward, and offers important theoretical and practical means of achieving socially beneficial outcomes. Theoretically, intelligence as the generic capability of agents (human or machine) to treat problems in multiple scale domains allows thinking to be reconceived as an operation of multiplicity, simultaneity, and portability, opening the scope of world to a wider sphere of concern beyond the traditional individual self and local community others. Practically, producing socially responsible AI could proceed in the phased approach of a ""Moore's Law of AI Alignment"" with short-term regulation and registries, medium-term internally learned reward functions, and long-term responsible human-AI entities. Humans are not naturally socially responsible but might be more so when operating with new levels of technological sophistication aimed at planetary-scale problems. © 2023 CEUR-WS. All rights reserved.",,"University College London, Malet Place, Gower Street, London, WC1E 6BT, United Kingdom; Lutheran University of Brazil, Av. Farroupilha, 8001 - Canoas, RS, São José, 92425-020, Brazil","Swan M., University College London, Malet Place, Gower Street, London, WC1E 6BT, United Kingdom; Dos Santos R.P., Lutheran University of Brazil, Av. Farroupilha, 8001 - Canoas, RS, São José, 92425-020, Brazil",AI alignment; AI math agents; quantum intelligence; socially responsible human-AI entities,Intelligent agents; Agnostic learning; AI alignment; AI math agent; Problem-solving; Quantum Computing; Quantum intelligence; Quantum-classical; Relativistics; Social objectives; Socially responsible human-AI entity; Quantum computers,CEUR-WS,,"2023 AAAI Spring Symposium: Socially Responsible AI for Well-Being, AAAI-SRAI 2023",27 March 2023 through 29 March 2023,"Hybrid, Burlingame",Conference paper,
